Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C003_plasma_R+194_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+194_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+194_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+194_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	29946965	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.72	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+45_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+45_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+45_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+45_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	21444921	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+45_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+45_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+45_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+45_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	29308004	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+82_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+82_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+82_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+82_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	28302262	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+82_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+82_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+82_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+82_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27967735	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_L-44_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_L-44_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_L-44_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_L-44_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	39164955	read	SO	http://purl.obolibrary.org/obo/SO_0000150	36.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_L-44_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_L-44_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_L-44_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_L-44_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	32142910	read	SO	http://purl.obolibrary.org/obo/SO_0000150	20.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+1_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+1_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+1_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+1_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	34451913	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.84	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+1_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+1_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+1_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+1_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25840308	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+194_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+194_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+194_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+194_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26174560	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+194_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+194_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+194_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+194_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	21968536	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+45_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+45_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+45_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+45_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25456272	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.61	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C004_plasma_R+45_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C004_plasma_R+45_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C004_R+45_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C004_R+45_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	22190619	read	SO	http://purl.obolibrary.org/obo/SO_0000150	15.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
