Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Derived Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
367437	Nucleic Acid Extraction	367437	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367437_R1_raw.fastq.gz, GLDS-516_rna-seq_367437_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367437.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367437.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	15389241	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367438	Nucleic Acid Extraction	367438	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367438_R1_raw.fastq.gz, GLDS-516_rna-seq_367438_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367438.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367438.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	15148833	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367439	Nucleic Acid Extraction	367439	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367439_R1_raw.fastq.gz, GLDS-516_rna-seq_367439_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367439.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367439.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12585173	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367440	Nucleic Acid Extraction	367440	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367440_R1_raw.fastq.gz, GLDS-516_rna-seq_367440_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367440.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367440.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	14753421	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367441	Nucleic Acid Extraction	367441	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367441_R1_raw.fastq.gz, GLDS-516_rna-seq_367441_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367441.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367441.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	10123181	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367442	Nucleic Acid Extraction	367442	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367442_R1_raw.fastq.gz, GLDS-516_rna-seq_367442_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367442.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367442.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11141160	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.63	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367443	Nucleic Acid Extraction	367443	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367443_R1_raw.fastq.gz, GLDS-516_rna-seq_367443_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367443.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367443.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11674826	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367444	Nucleic Acid Extraction	367444	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367444_R1_raw.fastq.gz, GLDS-516_rna-seq_367444_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367444.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367444.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11783659	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.83	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367445	Nucleic Acid Extraction	367445	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367445_R1_raw.fastq.gz, GLDS-516_rna-seq_367445_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367445.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367445.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	10978232	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367446	Nucleic Acid Extraction	367446	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367446_R1_raw.fastq.gz, GLDS-516_rna-seq_367446_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367446.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367446.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11846223	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367447	Nucleic Acid Extraction	367447	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367447_R1_raw.fastq.gz, GLDS-516_rna-seq_367447_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367447.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367447.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11466214	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367448	Nucleic Acid Extraction	367448	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367448_R1_raw.fastq.gz, GLDS-516_rna-seq_367448_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367448.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367448.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	7564885	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367449	Nucleic Acid Extraction	367449	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367449_R1_raw.fastq.gz, GLDS-516_rna-seq_367449_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367449.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367449.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	7149393	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367450	Nucleic Acid Extraction	367450	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367450_R1_raw.fastq.gz, GLDS-516_rna-seq_367450_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367450.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367450.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13691086	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.62	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367451	Nucleic Acid Extraction	367451	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367451_R1_raw.fastq.gz, GLDS-516_rna-seq_367451_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367451.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367451.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	10774200	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367452	Nucleic Acid Extraction	367452	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367452_R1_raw.fastq.gz, GLDS-516_rna-seq_367452_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367452.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367452.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11266650	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367453	Nucleic Acid Extraction	367453	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367453_R1_raw.fastq.gz, GLDS-516_rna-seq_367453_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367453.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367453.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13410257	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.67	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367454	Nucleic Acid Extraction	367454	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367454_R1_raw.fastq.gz, GLDS-516_rna-seq_367454_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367454.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367454.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11869114	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367455	Nucleic Acid Extraction	367455	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367455_R1_raw.fastq.gz, GLDS-516_rna-seq_367455_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367455.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367455.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12784511	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367456	Nucleic Acid Extraction	367456	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367456_R1_raw.fastq.gz, GLDS-516_rna-seq_367456_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367456.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367456.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	9698705	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367457	Nucleic Acid Extraction	367457	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367457_R1_raw.fastq.gz, GLDS-516_rna-seq_367457_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367457.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367457.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	8672257	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.95	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367458	Nucleic Acid Extraction	367458	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367458_R1_raw.fastq.gz, GLDS-516_rna-seq_367458_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367458.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367458.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	8301652	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367459	Nucleic Acid Extraction	367459	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367459_R1_raw.fastq.gz, GLDS-516_rna-seq_367459_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367459.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367459.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	7845885	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.76	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367460	Nucleic Acid Extraction	367460	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367460_R1_raw.fastq.gz, GLDS-516_rna-seq_367460_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367460.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367460.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	9902720	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367461	Nucleic Acid Extraction	367461	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367461_R1_raw.fastq.gz, GLDS-516_rna-seq_367461_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367461.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367461.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	8029876	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367462	Nucleic Acid Extraction	367462	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367462_R1_raw.fastq.gz, GLDS-516_rna-seq_367462_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367462.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367462.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13104705	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367463	Nucleic Acid Extraction	367463	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367463_R1_raw.fastq.gz, GLDS-516_rna-seq_367463_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367463.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367463.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	14010876	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367464	Nucleic Acid Extraction	367464	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367464_R1_raw.fastq.gz, GLDS-516_rna-seq_367464_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367464.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367464.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12406440	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367465	Nucleic Acid Extraction	367465	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367465_R1_raw.fastq.gz, GLDS-516_rna-seq_367465_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367465.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367465.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11751412	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367466	Nucleic Acid Extraction	367466	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367466_R1_raw.fastq.gz, GLDS-516_rna-seq_367466_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367466.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367466.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	8924780	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367467	Nucleic Acid Extraction	367467	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367467_R1_raw.fastq.gz, GLDS-516_rna-seq_367467_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367467.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367467.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	15642131	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.76	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367468	Nucleic Acid Extraction	367468	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367468_R1_raw.fastq.gz, GLDS-516_rna-seq_367468_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367468.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367468.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13234842	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367469	Nucleic Acid Extraction	367469	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367469_R1_raw.fastq.gz, GLDS-516_rna-seq_367469_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367469.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367469.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	15500502	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367470	Nucleic Acid Extraction	367470	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367470_R1_raw.fastq.gz, GLDS-516_rna-seq_367470_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367470.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367470.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	14933946	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367471	Nucleic Acid Extraction	367471	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367471_R1_raw.fastq.gz, GLDS-516_rna-seq_367471_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367471.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367471.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12681794	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
